Source,Target,Type,id,weight
PABLO,LIBRO,Undirected,0,2
PABLO,PEDIR,Undirected,1,2
PABLO,MOYANO,Undirected,2,4
PABLO,FERIA,Undirected,3,2
PABLO,PARO,Undirected,4,2
PABLO,CRISTINA,Undirected,5,2
PACTO,IGLESIA,Undirected,6,2
PACTO,KICILLOF,Undirected,7,2
PACTO,NACIONAL,Undirected,8,3
PACTO,AXEL,Undirected,9,2
PACTO,PJ,Undirected,10,2
TINELLI,SCIOLI,Undirected,11,2
TINELLI,MARCELO,Undirected,12,3
TINELLI,LAVAGNA,Undirected,13,2
TINELLI,FEDERAL,Undirected,14,2
PICHETTO,UU,Undirected,15,2
PICHETTO,URTUBEY,Undirected,16,2
PICHETTO,MIGUEL,Undirected,17,13
PICHETTO,LAVAGNA,Undirected,18,9
PICHETTO,MASSA,Undirected,19,2
PICHETTO,NUEVO,Undirected,20,2
PICHETTO,EE,Undirected,21,2
PICHETTO,ROBERTO,Undirected,22,5
PICHETTO,FEDERAL,Undirected,23,2
PICHETTO,MAURICIO,Undirected,24,2
PICHETTO,MACRI,Undirected,25,2
PICHETTO,CRISTINA,Undirected,26,2
PICHETTO,SCHIARETTI,Undirected,27,2
PICHETTO,ACUERDO,Undirected,28,2
PICHETTO,ALTERNATIVA,Undirected,29,2
PICHETTO,VICE,Undirected,30,3
PICHETTO,JUAN,Undirected,31,4
MOYANO,30,Undirected,32,2
MOYANO,ACTO,Undirected,33,3
MOYANO,CRISTINA,Undirected,34,3
MOYANO,GOBIERNO,Undirected,35,2
MOYANO,HUGO,Undirected,36,7
MOYANO,ABRIL,Undirected,37,2
MOYANO,BULLRICH,Undirected,38,2
MOYANO,PARO,Undirected,39,8
MOYANO,KIRCHNER,Undirected,40,4
MOYANO,BONAERENSE,Undirected,41,2
TRIUNFO,ALTERNATIVA,Undirected,42,2
TRIUNFO,JUAN,Undirected,43,5
TRIUNFO,SCHIARETTI,Undirected,44,5
TRIUNFO,ELECCIONES,Undirected,45,2
TRIUNFO,CÓRDOBA,Undirected,46,2
TRIUNFO,FEDERAL,Undirected,47,3
SUPREMA,CORTE,Undirected,48,7
SUPREMA,DECISIÓN,Undirected,49,3
SUPREMA,CRISTINA,Undirected,50,5
SUPREMA,JUICIO,Undirected,51,4
SUPREMA,MARTES,Undirected,52,2
SUPREMA,KIRCHNER,Undirected,53,5
FRASE,CARRIÓ,Undirected,54,2
FRASE,KIRCHNERISMO,Undirected,55,2
FRASE,CRISTINA,Undirected,56,2
INTERNA,MAURICIO,Undirected,57,2
INTERNA,ALBERTO,Undirected,58,2
INTERNA,MACRI,Undirected,59,2
INTERNA,CONVENCIÓN,Undirected,60,2
INTERNA,FEDERAL,Undirected,61,2
EMPRESARIOS,MAURICIO,Undirected,62,2
EMPRESARIOS,VIDAL,Undirected,63,2
EMPRESARIOS,CRISTINA,Undirected,64,4
EMPRESARIOS,EX,Undirected,65,2
EMPRESARIOS,KIRCHNER,Undirected,66,3
EMPRESARIOS,MACRI,Undirected,67,2
TRIBUNAL,ORAL,Undirected,68,3
TRIBUNAL,JUICIO,Undirected,69,3
TRIBUNAL,KIRCHNER,Undirected,70,3
TRIBUNAL,CRISTINA,Undirected,71,5
