Id,Label,class
PABLO,PABLO,0
PACTO,PACTO,0
TINELLI,TINELLI,0
PICHETTO,PICHETTO,0
MOYANO,MOYANO,0
TRIUNFO,TRIUNFO,0
SUPREMA,SUPREMA,0
FRASE,FRASE,0
INTERNA,INTERNA,0
EMPRESARIOS,EMPRESARIOS,0
TRIBUNAL,TRIBUNAL,0
FMI,FMI,0
FRIGERIO,FRIGERIO,0
CARTA,CARTA,0
IR,IR,0
BULLRICH,BULLRICH,0
PAPA,PAPA,0
PASO,PASO,0
SENADO,SENADO,0
STORNELLI,STORNELLI,0
UCR,UCR,0
PRESENTACIÓN,PRESENTACIÓN,0
ARGENTINA,ARGENTINA,0
MUNDO,MUNDO,0
PERONISMO,PERONISMO,0
FUNCIONARIOS,FUNCIONARIOS,0
PODRÍA,PODRÍA,0
REVELÓ,REVELÓ,0
HISTÓRICO,HISTÓRICO,0
BONADIO,BONADIO,0
LARRETA,LARRETA,0
PIDE,PIDE,0
CARLOS,CARLOS,0
MARTÍN,MARTÍN,0
15,15,0
VUELTA,VUELTA,0
JUGADA,JUGADA,0
VOTAR,VOTAR,0
PAMPA,PAMPA,0
HORACIO,HORACIO,0
AXEL,AXEL,0
FISCAL,FISCAL,0
TESTIGO,TESTIGO,0
2,2,0
MUERTE,MUERTE,0
CONTROL,CONTROL,0
PRECIOS,PRECIOS,0
BÁEZ,BÁEZ,0
MANUEL,MANUEL,0
RATIFICÓ,RATIFICÓ,0
DIPUTADO,DIPUTADO,0
LUEGO,LUEGO,0
AÑOS,AÑOS,0
MACRI,MACRI,0
DICTADURA,DICTADURA,0
VIDEO,VIDEO,0
SCHIARETTI,SCHIARETTI,0
MENSAJE,MENSAJE,0
AMENAZAS,AMENAZAS,0
BOUDOU,BOUDOU,0
PRÓXIMO,PRÓXIMO,0
PÚBLICA,PÚBLICA,0
RICARDO,RICARDO,0
DECISIÓN,DECISIÓN,0
RIOJA,RIOJA,0
ROGELIO,ROGELIO,0
HIZO,HIZO,0
MARTES,MARTES,0
GENERAL,GENERAL,0
VOLVER,VOLVER,0
AMADO,AMADO,0
REFERENTES,REFERENTES,0
MADRE,MADRE,0
DIPUTADOS,DIPUTADOS,0
DIRIGENTE,DIRIGENTE,0
FOTO,FOTO,0
VENEZUELA,VENEZUELA,0
LLAMADO,LLAMADO,0
MARÍA,MARÍA,0
VIDA,VIDA,0
SCIOLI,SCIOLI,0
PRISIÓN,PRISIÓN,0
ECHEGARAY,ECHEGARAY,0
GOBERNADORES,GOBERNADORES,0
CAMPAÑA,CAMPAÑA,0
KICILLOF,KICILLOF,0
OPOSICIÓN,OPOSICIÓN,0
JUICIO,JUICIO,0
PROVINCIA,PROVINCIA,0
ELECTORALES,ELECTORALES,0
MANZANARES,MANZANARES,0
CUMBRE,CUMBRE,0
CASO,CASO,0
COMODORO,COMODORO,0
OBRA,OBRA,0
MEDIDAS,MEDIDAS,0
RODRÍGUEZ,RODRÍGUEZ,0
QUIÉN,QUIÉN,0
JUSTICIA,JUSTICIA,0
IDEA,IDEA,0
BOLSONARO,BOLSONARO,0
VIDAL,VIDAL,0
PERONISTA,PERONISTA,0
CASA,CASA,0
CANDIDATO,CANDIDATO,0
MURIÓ,MURIÓ,0
GABINETE,GABINETE,0
ALFONSÍN,ALFONSÍN,0
CRISTINA,CRISTINA,0
000,000,0
RIESGO,RIESGO,0
PRIMERA,PRIMERA,0
ILEGAL,ILEGAL,0
IGLESIA,IGLESIA,0
PESE,PESE,0
HOY,HOY,0
APOYO,APOYO,0
MARIO,MARIO,0
GOBIERNO,GOBIERNO,0
MARCOS,MARCOS,0
US,US,0
URTUBEY,URTUBEY,0
CÁMARA,CÁMARA,0
ATRÁS,ATRÁS,0
OSCAR,OSCAR,0
ARMAR,ARMAR,0
VÍCTOR,VÍCTOR,0
POSIBILIDAD,POSIBILIDAD,0
FERIA,FERIA,0
ELISA,ELISA,0
CGT,CGT,0
FISCALES,FISCALES,0
POLÍTICA,POLÍTICA,0
DIRIGENTES,DIRIGENTES,0
LUIS,LUIS,0
OLIVARES,OLIVARES,0
PLATA,PLATA,0
RESPONDIÓ,RESPONDIÓ,0
AFIRMÓ,AFIRMÓ,0
29,29,0
GOBERNADOR,GOBERNADOR,0
PROCESAMIENTO,PROCESAMIENTO,0
PUNTOS,PUNTOS,0
KIRCHNER,KIRCHNER,0
D,D,0
CIUDAD,CIUDAD,0
CORTE,CORTE,0
PRO,PRO,0
LEY,LEY,0
JOSÉ,JOSÉ,0
CASACIÓN,CASACIÓN,0
INTENDENTES,INTENDENTES,0
BONAERENSE,BONAERENSE,0
PRIMER,PRIMER,0
BOMBA,BOMBA,0
JUEZ,JUEZ,0
HÉCTOR,HÉCTOR,0
CÁMPORA,CÁMPORA,0
LICENCIA,LICENCIA,0
NÉSTOR,NÉSTOR,0
CÓRDOBA,CÓRDOBA,0
CONTESTÓ,CONTESTÓ,0
SERGIO,SERGIO,0
EUGENIA,EUGENIA,0
ORAL,ORAL,0
HIJO,HIJO,0
MARCELO,MARCELO,0
CANDIDATURA,CANDIDATURA,0
CONFIRMÓ,CONFIRMÓ,0
CONVENCIÓN,CONVENCIÓN,0
MEJOR,MEJOR,0
LAVADO,LAVADO,0
TENSIÓN,TENSIÓN,0
ROSADA,ROSADA,0
RADICALES,RADICALES,0
MILLONES,MILLONES,0
PEÑA,PEÑA,0
PRESIDENCIAL,PRESIDENCIAL,0
MÁXIMO,MÁXIMO,0
RECLAMA,RECLAMA,0
MIGUEL,MIGUEL,0
AMPLIAR,AMPLIAR,0
RECHAZÓ,RECHAZÓ,0
MOMENTO,MOMENTO,0
DENUNCIA,DENUNCIA,0
MAURICIO,MAURICIO,0
POLÍTICO,POLÍTICO,0
FÓRMULA,FÓRMULA,0
DÍA,DÍA,0
CRÍTICAS,CRÍTICAS,0
SINCERAMENTE,SINCERAMENTE,0
ALTERNATIVA,ALTERNATIVA,0
MESES,MESES,0
LÁZARO,LÁZARO,0
FEDERAL,FEDERAL,0
PY,PY,0
AMENAZA,AMENAZA,0
DANIEL,DANIEL,0
PJ,PJ,0
CÉSAR,CÉSAR,0
ECONOMÍA,ECONOMÍA,0
COALICIÓN,COALICIÓN,0
NACIONAL,NACIONAL,0
EE,EE,0
CONFIRMAN,CONFIRMAN,0
PELEA,PELEA,0
ROBERTO,ROBERTO,0
LOUSTEAU,LOUSTEAU,0
CARRIÓ,CARRIÓ,0
JULIO,JULIO,0
TRANSPORTE,TRANSPORTE,0
CLAVE,CLAVE,0
ALESSIO,ALESSIO,0
REPRESIÓN,REPRESIÓN,0
QUIERE,QUIERE,0
PODER,PODER,0
DIÁLOGO,DIÁLOGO,0
FE,FE,0
LAVAGNA,LAVAGNA,0
KIRCHNERISMO,KIRCHNERISMO,0
SEGURIDAD,SEGURIDAD,0
EX,EX,0
PROYECTO,PROYECTO,0
PARO,PARO,0
UU,UU,0
PERÓN,PERÓN,0
PRESENTÓ,PRESENTÓ,0
DIO,DIO,0
ACTO,ACTO,0
CUATRO,CUATRO,0
MEDIO,MEDIO,0
FRENTE,FRENTE,0
PAÍS,PAÍS,0
ELECCIONES,ELECCIONES,0
30,30,0
CUADERNOS,CUADERNOS,0
RECIBIÓ,RECIBIÓ,0
CRUZ,CRUZ,0
FERNÁNDEZ,FERNÁNDEZ,0
CONGRESO,CONGRESO,0
CORNEJO,CORNEJO,0
ACUERDO,ACUERDO,0
CERRÓ,CERRÓ,0
NUEVA,NUEVA,0
OBISPOS,OBISPOS,0
NUEVO,NUEVO,0
MILANI,MILANI,0
DAR,DAR,0
PATRICIA,PATRICIA,0
SOCIAL,SOCIAL,0
TRES,TRES,0
ALFREDO,ALFREDO,0
FLORENCIA,FLORENCIA,0
DUDAS,DUDAS,0
MAL,MAL,0
VÍCTIMAS,VÍCTIMAS,0
HUGO,HUGO,0
POLARIZACIÓN,POLARIZACIÓN,0
MANDÓ,MANDÓ,0
MAYO,MAYO,0
YADÓN,YADÓN,0
CUÁNTO,CUÁNTO,0
2019,2019,0
PERIODISTA,PERIODISTA,0
K,K,0
CAUSA,CAUSA,0
SINDICALISTAS,SINDICALISTAS,0
CANDIDATA,CANDIDATA,0
PEDIR,PEDIR,0
AÑO,AÑO,0
TERCERA,TERCERA,0
GREMIOS,GREMIOS,0
VOTO,VOTO,0
DETENIDO,DETENIDO,0
MORENO,MORENO,0
TOF,TOF,0
BONFATTI,BONFATTI,0
SOTA,SOTA,0
VOLVIÓ,VOLVIÓ,0
25,25,0
PIDEN,PIDEN,0
CLAUDIO,CLAUDIO,0
GUILLERMO,GUILLERMO,0
MASSA,MASSA,0
JUDICIAL,JUDICIAL,0
SANTA,SANTA,0
CAMBIEMOS,CAMBIEMOS,0
ATAQUE,ATAQUE,0
DOS,DOS,0
ENCUESTAS,ENCUESTAS,0
PRESIDENTE,PRESIDENTE,0
RADICAL,RADICAL,0
VICE,VICE,0
10,10,0
IMPUNIDAD,IMPUNIDAD,0
JUAN,JUAN,0
BALEADO,BALEADO,0
ELECTORAL,ELECTORAL,0
VIDO,VIDO,0
MAR,MAR,0
ANUNCIO,ANUNCIO,0
NEGRI,NEGRI,0
HABER,HABER,0
ABRIL,ABRIL,0
MERCADOS,MERCADOS,0
TEMOR,TEMOR,0
FELIPE,FELIPE,0
SORPRESA,SORPRESA,0
CORRUPCIÓN,CORRUPCIÓN,0
RAMOS,RAMOS,0
SUMAR,SUMAR,0
ALBERTO,ALBERTO,0
LANZÓ,LANZÓ,0
LIBRO,LIBRO,0
