Source,Target,Type,id,weight
@adrianperezARG,RT,Undirected,0,5
@adrianperezARG,FRIGERIOROGELIO,Undirected,1,1
@adrianperezARG,CON,Undirected,2,1
@adrianperezARG,REACONDICIONAMIENTO,Undirected,3,1
@adrianperezARG,160,Undirected,4,2
@adrianperezARG,KILÓMETROS,Undirected,5,1
@adrianperezARG,CANAL,Undirected,6,1
@adrianperezARG,SAN,Undirected,7,1
@adrianperezARG,ANTONIO,Undirected,8,1
@adrianperezARG,000,Undirected,9,1
@adrianperezARG,PERSONAS,Undirected,10,1
@adrianperezARG,CÓRDOBA,Undirected,11,1
@adrianperezARG,SANTAFE,Undirected,12,1
@adrianperezARG,VIVIRÁN,Undirected,13,1
@adrianperezARG,MÁ,Undirected,14,1
@adrianperezARG,GOBABIERTO_AR,Undirected,15,1
@adrianperezARG,ADRIANPEREZARG,Undirected,16,2
@adrianperezARG,MODERARÁ,Undirected,17,1
@adrianperezARG,PANEL,Undirected,18,1
@adrianperezARG,EXPERIENCIAS,Undirected,19,1
@adrianperezARG,PRESUPUESTOS,Undirected,20,1
@adrianperezARG,PARTICIPATIVOS,Undirected,21,1
@adrianperezARG,NIVEL,Undirected,22,1
@adrianperezARG,LOCAL,Undirected,23,1
@adrianperezARG,NO,Undirected,24,1
@adrianperezARG,PIERDAS,Undirected,25,1
@adrianperezARG,GRA,Undirected,26,1
@adrianperezARG,HORACIORLARRETA,Undirected,27,1
@adrianperezARG,VIENEELPASEODELBAJO,Undirected,28,1
@adrianperezARG,HOY,Undirected,29,1
@adrianperezARG,DÍAS,Undirected,30,2
@adrianperezARG,SEGUIMOS,Undirected,31,1
@adrianperezARG,TRABAJANDO,Undirected,32,1
@adrianperezARG,EL,Undirected,33,1
@adrianperezARG,PRIMER,Undirected,34,1
@adrianperezARG,CAMIÓN,Undirected,35,1
@adrianperezARG,CRUZÓ,Undirected,36,1
@adrianperezARG,PUNTA,Undirected,37,2
@adrianperezARG,PASEO,Undirected,38,1
@adrianperezARG,LUCAS_INCICCO,Undirected,39,1
@adrianperezARG,MUY,Undirected,40,1
@adrianperezARG,BUENA,Undirected,41,1
@adrianperezARG,REUNIÓN,Undirected,42,1
@adrianperezARG,AUTORIDADES,Undirected,43,1
@adrianperezARG,FEDERACION,Undirected,44,1
@adrianperezARG,NACIONAL,Undirected,45,1
@adrianperezARG,VETERANOS,Undirected,46,1
@adrianperezARG,MALVINAS,Undirected,47,1
@adrianperezARG,CONVERSA,Undirected,48,1
@adrianperezARG,CHARLA,Undirected,49,1
@adrianperezARG,TOTITO_UCR,Undirected,50,1
@adrianperezARG,ELECCIONES2019,Undirected,51,1
@adrianperezARG,CASARADICALVL,Undirected,52,1
@adrianperezARG,VICENTELÓPEZ,Undirected,53,2
@adrianperezARG,https://t.co/aWMN0VoDqI,Undirected,54,1
@adrianperezARG,FELIZ,Undirected,55,1
@adrianperezARG,DÍA,Undirected,56,1
@adrianperezARG,TRABAJADORES,Undirected,57,1
@adrianperezARG,ARGENTINOS,Undirected,58,1
@adrianperezARG,ESFUERZO,Undirected,59,1
@adrianperezARG,DEDICACIÓN,Undirected,60,1
@adrianperezARG,IMPULSAN,Undirected,61,1
@adrianperezARG,PAÍS,Undirected,62,1
@adrianperezARG,FELIZDÍADELTRABAJADOR,Undirected,63,1
@adrianperezARG,FERCHUSARAUJO,Undirected,64,1
@adrianperezARG,ESTE,Undirected,65,1
@adrianperezARG,SÁBADO,Undirected,66,1
@adrianperezARG,DINARC,Undirected,67,1
@adrianperezARG,PARTICPÓ,Undirected,68,1
@adrianperezARG,MENDOZAVOLUNTARIA,Undirected,69,1
@adrianperezARG,MUNIGODOYCRUZ,Undirected,70,1
@adrianperezARG,UN,Undirected,71,1
@adrianperezARG,ESPACIO,Undirected,72,1
@adrianperezARG,INTERCAMBIO,Undirected,73,1
@adrianperezARG,APRENDIZAJE,Undirected,74,1
@adrianperezARG,GOBIER,Undirected,75,1
@adrianperezARG,FELICITACIONES,Undirected,76,1
@adrianperezARG,JEROBATISTASOY,Undirected,77,1
@adrianperezARG,JOVEN,Undirected,78,1
@adrianperezARG,DISTINCIÓN,Undirected,79,1
@adrianperezARG,HARVARD,Undirected,80,1
@adrianperezARG,100,Undirected,81,1
@adrianperezARG,LÍD,Undirected,82,1
