Id,Label,class
@adrianperezARG,@adrianperezARG,0
RT,RT,1
FRIGERIOROGELIO,FRIGERIOROGELIO,1
CON,CON,1
REACONDICIONAMIENTO,REACONDICIONAMIENTO,1
160,160,1
KILÓMETROS,KILÓMETROS,1
CANAL,CANAL,1
SAN,SAN,1
ANTONIO,ANTONIO,1
000,000,1
PERSONAS,PERSONAS,1
CÓRDOBA,CÓRDOBA,1
SANTAFE,SANTAFE,1
VIVIRÁN,VIVIRÁN,1
MÁ,MÁ,1
GOBABIERTO_AR,GOBABIERTO_AR,1
ADRIANPEREZARG,ADRIANPEREZARG,1
MODERARÁ,MODERARÁ,1
PANEL,PANEL,1
EXPERIENCIAS,EXPERIENCIAS,1
PRESUPUESTOS,PRESUPUESTOS,1
PARTICIPATIVOS,PARTICIPATIVOS,1
NIVEL,NIVEL,1
LOCAL,LOCAL,1
NO,NO,1
PIERDAS,PIERDAS,1
GRA,GRA,1
HORACIORLARRETA,HORACIORLARRETA,1
VIENEELPASEODELBAJO,VIENEELPASEODELBAJO,1
HOY,HOY,1
DÍAS,DÍAS,1
SEGUIMOS,SEGUIMOS,1
TRABAJANDO,TRABAJANDO,1
EL,EL,1
PRIMER,PRIMER,1
CAMIÓN,CAMIÓN,1
CRUZÓ,CRUZÓ,1
PUNTA,PUNTA,1
PASEO,PASEO,1
LUCAS_INCICCO,LUCAS_INCICCO,1
MUY,MUY,1
BUENA,BUENA,1
REUNIÓN,REUNIÓN,1
AUTORIDADES,AUTORIDADES,1
FEDERACION,FEDERACION,1
NACIONAL,NACIONAL,1
VETERANOS,VETERANOS,1
MALVINAS,MALVINAS,1
CONVERSA,CONVERSA,1
CHARLA,CHARLA,1
TOTITO_UCR,TOTITO_UCR,1
ELECCIONES2019,ELECCIONES2019,1
CASARADICALVL,CASARADICALVL,1
VICENTELÓPEZ,VICENTELÓPEZ,1
https://t.co/aWMN0VoDqI,https://t.co/aWMN0VoDqI,1
FELIZ,FELIZ,1
DÍA,DÍA,1
TRABAJADORES,TRABAJADORES,1
ARGENTINOS,ARGENTINOS,1
ESFUERZO,ESFUERZO,1
DEDICACIÓN,DEDICACIÓN,1
IMPULSAN,IMPULSAN,1
PAÍS,PAÍS,1
FELIZDÍADELTRABAJADOR,FELIZDÍADELTRABAJADOR,1
FERCHUSARAUJO,FERCHUSARAUJO,1
ESTE,ESTE,1
SÁBADO,SÁBADO,1
DINARC,DINARC,1
PARTICPÓ,PARTICPÓ,1
MENDOZAVOLUNTARIA,MENDOZAVOLUNTARIA,1
MUNIGODOYCRUZ,MUNIGODOYCRUZ,1
UN,UN,1
ESPACIO,ESPACIO,1
INTERCAMBIO,INTERCAMBIO,1
APRENDIZAJE,APRENDIZAJE,1
GOBIER,GOBIER,1
FELICITACIONES,FELICITACIONES,1
JEROBATISTASOY,JEROBATISTASOY,1
JOVEN,JOVEN,1
DISTINCIÓN,DISTINCIÓN,1
HARVARD,HARVARD,1
100,100,1
LÍD,LÍD,1
https://t.co/FA5nOyc8xq,https://t.co/FA5nOyc8xq,1
@AlexFreyre,@AlexFreyre,0
CUANDO,CUANDO,1
POLÍTICA,POLÍTICA,1
PÚBLICA,PÚBLICA,1
VACIAMIENTO,VACIAMIENTO,1
CIENCIA,CIENCIA,1
TECNOLOGÍA,TECNOLOGÍA,1
LLEVA,LLEVA,1
TENER,TENER,1
OBJETIVO,OBJETIVO,1
INCREÍBLE,INCREÍBLE,1
https://t.co/Wk1eqkvIkR,https://t.co/Wk1eqkvIkR,1
INFONEWS,INFONEWS,1
LOS,LOS,1
MINISTERIO,MINISTERIO,1
DESARROLLO,DESARROLLO,1
ILUMINARON,ILUMINARON,1
OFICINAS,OFICINAS,1
IMAGEN,IMAGEN,1
EVITA,EVITA,1
CENTENARIO,CENTENARIO,1
CRÉDITO,CRÉDITO,1
FO,FO,1
YOSOY_LAURY,YOSOY_LAURY,1
GRACIAS,GRACIAS,1
ALEXFREYRE,ALEXFREYRE,1
EN,EN,1
ARGENTINA,ARGENTINA,1
GROWSHOP,GROWSHOP,1
VENDEN,VENDEN,1
MARIHUANA,MARIHUANA,1
NI,NI,1
SEMILLAS,SEMILLAS,1
FLORES,FLORES,1
ESTÁ,ESTÁ,1
PROHIBIDO,PROHIBIDO,1
LEY,LEY,1
23737,23737,1
ASESORAMIENTO,ASESORAMIENTO,1
ANVESEP,ANVESEP,1
HABLEMOS,HABLEMOS,1
MARCHA,MARCHA,1
MUNDIAL,MUNDIAL,1
https://t.co/zM3K2skatq,https://t.co/zM3K2skatq,1
https://t.co/BfBCiBvi2N,https://t.co/BfBCiBvi2N,1
AFIRMO,AFIRMO,1
NIEGO,NIEGO,1
SALÍ,SALÍ,1
TARDE,TARDE,1
CASA,CASA,1
QUEDARME,QUEDARME,1
JUGANDO,JUGANDO,1
GATITOS,GATITOS,1
LAS,LAS,1
PLACAS,PLACAS,1
CRONICA,CRONICA,1
https://t.co/CGjzjSASoC,https://t.co/CGjzjSASoC,1
BUENOS,BUENOS,1
AIRES,AIRES,1
GRUPO,GRUPO,1
ECUA,ECUA,1
CÁMARA,CÁMARA,1
COMERCIO,COMERCIO,1
CANNABIS,CANNABIS,1
MAR,MAR,1
https://t.co/hUC69bhJrZ,https://t.co/hUC69bhJrZ,1
2019,2019,1
YO,YO,1
INVITÉ,INVITÉ,1
https://t.co/QlYwFxlzaF,https://t.co/QlYwFxlzaF,1
OLAVARRIA,OLAVARRIA,1
MMM19,MMM19,1
